Rettighetsnummer;Rettighetsnavn;Rettighetstype;Rettighetshaver;Organisasjonsnummer;Status;Mottatt;Godkjent;Mineral;Kommunenummer;Kommunenavn;Fylkesnummer;Fylkesnavn;Areal_m2;Årsavgift_nok;Årsavgift_arealgrunnlag;Årsavgift_kalenderår;Årsavgift_sats;Geometri
0011/1981-TB;Bergmester 5;UTVINNINGSRETT;Staten;974760282;Godkjent;1981-03-30;1981-09-23;Jern,Vanadium;1557,1506;Gjemnes,Molde;15;Møre og Romsdal;250000;2500;25;;100;POLYGON ((8.07200388777465 62.8394968948066,8.07590627637884 62.8416589676919,8.0935463489811 62.8442092220318,8.09494208251876 62.8420587285935,8.07200388777465 62.8394968948066))
0001/1982-TB;Hersjø 1;UTVINNINGSRETT;Hessjøgruva AS;996601536;Godkjent;1982-05-28;1982-09-07;Kobber,Py,Sink;5026;Holtålen;50;Trøndelag - Trööndelage;300000;3000;30;;100;POLYGON ((11.104453184475 62.6815912285269,11.1259832005042 62.6856581797543,11.1278096984097 62.6835892855153,11.1062809409298 62.6795226205579,11.104453184475 62.6815912285269))
0002/1982-TB;Hersjø 2;UTVINNINGSRETT;Hessjøgruva AS;996601536;Godkjent;1982-05-28;1982-09-07;Kobber,Py,Sink;5026;Holtålen;50;Trøndelag - Trööndelage;300000;3000;30;;100;POLYGON ((11.1062809409298 62.6795226205579,11.1278096984097 62.6835892855153,11.1296359415998 62.6815203734179,11.1081084446023 62.6774539963723,11.1062809409298 62.6795226205579))
0003/1982-TB;Hersjø 3;UTVINNINGSRETT;Hessjøgruva AS;996601536;Godkjent;1982-05-28;1982-09-07;Kobber,Py,Sink;5026;Holtålen;50;Trøndelag - Trööndelage;300000;3000;30;;100;POLYGON ((11.1134897576838 62.6784709055023,11.1296359415998 62.6815203734179,11.1319412335026 62.6788219832678,11.115796288186 62.6757727807666,11.1134897576838 62.6784709055023))
0001/1986-NB;Ørtfjell 1;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;225000;2300;23;;100;POLYGON ((14.6724953757499 66.4198129300522,14.6926424739253 66.4196243503144,14.6925108277409 66.4173831973552,14.6723655390365 66.417571757691,14.6724953757499 66.4198129300522))
0002/1986-NB;Ørtfjell 2;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;300000;3000;30;;100;POLYGON ((14.6748640241108 66.4220332762728,14.7017291049997 66.4217808409343,14.7015966278664 66.4195396972453,14.6747339591763 66.419792106038,14.6748640241108 66.4220332762728))
0003/1986-NB;Ørtfjell 3;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;250000;2500;25;;100;POLYGON ((14.6794720756643 66.4242326927001,14.7018616100107 66.4240219842867,14.7017291049997 66.4217808409343,14.6793415807912 66.4219915269287,14.6794720756643 66.4242326927001))
0004/1986-NB;Ørtfjell 4;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;100000;1000;10;;100;POLYGON ((14.6907721184433 66.4259206661684,14.701967624183 66.4258148954981,14.7018616100107 66.4240219842867,14.6906668978697 66.4241277425861,14.6907721184433 66.4259206661684))
0005/1986-NB;Ørtfjell 5;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;260000;2600;26;;100;POLYGON ((14.7020736667648 66.4276078096495,14.7110306417978 66.4275226061255,14.7106839822556 66.4216956591333,14.7017291049997 66.4217808409343,14.7020736667648 66.4276078096495))
0006/1986-NB;Ørtfjell 6;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;297500;3000;30;;100;POLYGON ((14.7109506265017 66.4261779263403,14.7299829366064 66.4259951654919,14.7297938875132 66.4228576084609,14.7107639637022 66.4230403394826,14.7109506265017 66.4261779263403))
